idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;140462;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;139626;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;128834;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;151728;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;158981;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;150576;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;115584;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;0;Total;148440;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;162848;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;0_JS;Public sector;156398;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;145244;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;176298;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;144516;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;154423;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;152689;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;142532;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;167046;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;174644;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;163836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2025;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;129166;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;0;Total;163385;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;184086;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;0_JS;Public sector;175340;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;158539;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;198992;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;164024;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;172706;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;171769;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;164507;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;181270;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;188960;RSD;RSD;SORS;Average gross earnings;A;Normal value
