idindikator;mes;god;IDModalitetRegZap;nModalitetRegZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70378;Varvarin;1398;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70386;Velika Plana;7949;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70386;Velika Plana;5854;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70386;Velika Plana;1652;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70386;Velika Plana;442;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70394;Veliko Gradište;3733;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70394;Veliko Gradište;1629;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70394;Veliko Gradište;803;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70394;Veliko Gradište;1301;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70408;Vladimirci;3794;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70408;Vladimirci;1934;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70408;Vladimirci;446;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
