idindikator;IDTer;nTer;mes;god;IDModalitetZarZap;nModalitetZarZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2024;2;Salaries and wages of employees in temporary and occasional employment;82772;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2025;0;Total;147945;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;148538;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2025;2;Salaries and wages of employees in temporary and occasional employment;92018;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2018;0;Total;68176;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;68583;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2018;2;Salaries and wages of employees in temporary and occasional employment;46595;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2019;0;Total;74922;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;75364;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2019;2;Salaries and wages of employees in temporary and occasional employment;50254;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2020;0;Total;82003;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82390;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2020;2;Salaries and wages of employees in temporary and occasional employment;54394;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2021;0;Total;88759;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;89143;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2021;2;Salaries and wages of employees in temporary and occasional employment;58486;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2022;0;Total;100676;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;101152;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2022;2;Salaries and wages of employees in temporary and occasional employment;62703;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2023;0;Total;116067;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;116581;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2023;2;Salaries and wages of employees in temporary and occasional employment;71392;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2024;0;Total;133553;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;134100;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;07;2024;2;Salaries and wages of employees in temporary and occasional employment;83454;RSD;RSD;SORS;Average gross earnings;A;Normal value
