idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2011;40121;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2011;39262;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2011;48327;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2011;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2011;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2011;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2012;41377;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2012;52317;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2012;46551;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2012;36570;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2012;58462;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2012;43297;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2012;44055;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2012;42314;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2012;41724;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2012;52401;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2012;;RSD;RSD;SORS;Average net earnings;O;Not available
