idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1995;294;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1996;594;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1997;728;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1998;1038;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1999;1091;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2000;2022;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2001;4531;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2002;8739;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2003;11148;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2004;14395;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2005;17193;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2006;20887;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2007;26632;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2008;32562;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2009;32571;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2010;34952;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2011;39298;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2012;42215;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2013;46530;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2014;45847;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2015;45605;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2016;49249;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2017;49635;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2018;49117;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2019;54645;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2020;58932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2021;64948;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2022;73012;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2023;83812;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2024;96614;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;2025;109272;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1977;3959;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1978;4824;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1979;5797;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1980;6762;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1981;8962;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1982;11732;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1983;14360;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1984;20299;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1985;33127;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1986;68758;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1987;122036;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1988;314845;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1989;2305393;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1990;3132;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1991;6933;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1992;69460;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1993;9988432;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1994;136;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1995;307;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1996;609;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1997;729;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1998;930;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;1999;946;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2000;2014;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2001;4497;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2002;8635;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2003;11043;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2004;13455;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2005;16731;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;05;2006;20713;RSD;RSD;SORS;Average net earnings;A;Normal value
