idindikator;IDTer;nTer;mes;god;IDModalitetRegZap;nModalitetRegZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2018;03;Registered individual agricultural producers (farmers);38194;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2018;0;Registered employment - total;360132;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2018;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");270688;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2018;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");71968;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2018;03;Registered individual agricultural producers (farmers);17476;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS23;Region Kosovo i Metohija;K1;2018;0;Registered employment - total;;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2018;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2018;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2018;03;Registered individual agricultural producers (farmers);;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2019;0;Registered employment - total;2147948;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1702897;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");370640;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2019;03;Registered individual agricultural producers (farmers);74411;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2019;0;Registered employment - total;1277336;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1071801;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");181941;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2019;03;Registered individual agricultural producers (farmers);23594;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
