idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2018;68047;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2018;72170;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2018;36856;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2019;74009;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2019;78786;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2019;38982;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2020;82572;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2020;87944;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2020;44972;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2021;89793;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2021;95885;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2021;47601;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2022;102523;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2022;109250;RSD;RSD;SORS;Average gross earnings;A;Normal value
