idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70289;Bogatić;K1;2016;0;Total;6221;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70289;Bogatić;K1;2016;1;Male;4429;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70289;Bogatić;K1;2016;2;Female;1793;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70297;Bojnik;K1;2016;0;Total;1323;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70297;Bojnik;K1;2016;1;Male;841;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70297;Bojnik;K1;2016;2;Female;482;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70319;Boljevac;K1;2016;0;Total;2627;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70319;Boljevac;K1;2016;1;Male;1637;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70319;Boljevac;K1;2016;2;Female;990;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70327;Bor;K1;2016;0;Total;12849;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70327;Bor;K1;2016;1;Male;7662;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70327;Bor;K1;2016;2;Female;5186;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70335;Bosilegrad;K1;2016;0;Total;1598;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70335;Bosilegrad;K1;2016;1;Male;1002;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70335;Bosilegrad;K1;2016;2;Female;596;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70343;Brus;K1;2016;0;Total;4108;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70343;Brus;K1;2016;1;Male;2369;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70343;Brus;K1;2016;2;Female;1738;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70351;Bujanovac;K1;2016;0;Total;5400;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70351;Bujanovac;K1;2016;1;Male;3670;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70351;Bujanovac;K1;2016;2;Female;1731;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70360;Valjevo;K1;2016;0;Total;26511;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70360;Valjevo;K1;2016;1;Male;14639;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70360;Valjevo;K1;2016;2;Female;11872;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70378;Varvarin;K1;2016;0;Total;3388;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70378;Varvarin;K1;2016;1;Male;2235;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70378;Varvarin;K1;2016;2;Female;1153;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
