idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;67044;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;47268;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;54122;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;50387;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;52340;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;59113;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;61417;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;61542;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;47669;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;0;Total;53470;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;64815;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;0_JS;Public sector;60671;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;50045;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;73980;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;52019;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;59334;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;55437;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;56833;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;65184;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;67848;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;74686;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2019;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;51527;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;0;Total;59036;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;71603;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;0_JS;Public sector;67050;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;55401;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;80211;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;59671;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;65598;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;62456;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;62366;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;71419;RSD;RSD;SORS;Average net earnings;A;Normal value
