idindikator;mes;god;IDKD08;nkd08;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040402IND02;00;2025;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;96214;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;84697;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;73813;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;63601;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;56878;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;53102;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;48271;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;14;Manufacture of wearing apparel;RS;REPUBLIC OF SERBIA;44495;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;46910;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;52234;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;55346;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;62831;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;70624;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;79369;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;91935;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;15;Manufacture of leather and related products;RS;REPUBLIC OF SERBIA;104422;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;92447;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;80386;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;69245;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;60622;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;53474;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;49443;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;45874;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";RS;REPUBLIC OF SERBIA;42273;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;67408;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;71832;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;79531;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;84698;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;95393;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;108680;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;126774;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;17;Manufacture of paper and paper products;RS;REPUBLIC OF SERBIA;142069;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;115105;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;102268;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;89801;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;78797;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;70087;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;63583;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;59194;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;18;Printing and reproduction of recorded media;RS;REPUBLIC OF SERBIA;54652;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;117495;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;139462;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;143840;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;149799;RSD;RSD;SORS;Average gross earnings;A;Normal value
