municipality_code,municipality_name,year,quarter,earnings_type,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,quarterly_avg_value_rsd,months_in_quarter,is_complete_quarter,month_list,min_month_value_rsd,max_month_value_rsd
70017,Aleksandrovac,2024,Q2,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,69963.67,3,True,"04,05,06",67821,72111
70017,Aleksandrovac,2024,Q3,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,98644.33,3,True,"07,08,09",98227,99386
70017,Aleksandrovac,2024,Q3,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,71417,3,True,"07,08,09",71155,71846
70017,Aleksandrovac,2024,Q4,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,103313.33,3,True,"10,11,12",100711,105820
70017,Aleksandrovac,2024,Q4,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,74879,3,True,"10,11,12",72795,76708
70017,Aleksandrovac,2025,Q1,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,107528.33,3,True,"01,02,03",104748,111089
70017,Aleksandrovac,2025,Q1,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,77948.33,3,True,"01,02,03",75946,80626
70017,Aleksandrovac,2025,Q2,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,110405,3,True,"04,05,06",109859,111062
70017,Aleksandrovac,2025,Q2,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,79870.33,3,True,"04,05,06",79427,80323
70017,Aleksandrovac,2025,Q3,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,111571,3,True,"07,08,09",108377,114388
70017,Aleksandrovac,2025,Q3,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,80698,3,True,"07,08,09",78403,82688
70017,Aleksandrovac,2025,Q4,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,120045.67,3,True,"10,11,12",115744,127239
70017,Aleksandrovac,2025,Q4,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,87068.33,3,True,"10,11,12",83964,92701
70017,Aleksandrovac,2026,Q1,gross,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,122424,2,False,"01,02",120934,123914
70017,Aleksandrovac,2026,Q1,net,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,88877,2,False,"01,02",87818,89936
70025,Aleksinac,2018,Q1,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,55693.67,3,True,"01,02,03",54338,57123
70025,Aleksinac,2018,Q1,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,40414.67,3,True,"01,02,03",39455,41426
70025,Aleksinac,2018,Q2,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,56637.67,3,True,"04,05,06",55740,57487
70025,Aleksinac,2018,Q2,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,41085.33,3,True,"04,05,06",40474,41674
70025,Aleksinac,2018,Q3,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,54842.67,3,True,"07,08,09",53338,56166
70025,Aleksinac,2018,Q3,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,39802.67,3,True,"07,08,09",38754,40729
70025,Aleksinac,2018,Q4,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,58011,3,True,"10,11,12",55919,62037
70025,Aleksinac,2018,Q4,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,42109.67,3,True,"10,11,12",40566,45079
70025,Aleksinac,2019,Q1,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,59283.67,3,True,"01,02,03",57857,61249
70025,Aleksinac,2019,Q1,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,42995.67,3,True,"01,02,03",41980,44389
70025,Aleksinac,2019,Q2,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,60818.33,3,True,"04,05,06",60311,61223
70025,Aleksinac,2019,Q2,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,44084.33,3,True,"04,05,06",43706,44376
70025,Aleksinac,2019,Q3,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,59752.33,3,True,"07,08,09",58719,60867
70025,Aleksinac,2019,Q3,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,43295,3,True,"07,08,09",42562,44086
