municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,from_year,from_quarter,to_year,to_quarter,from_value_rsd,to_value_rsd,change_pct,abs_change_pct
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2018,Q3,2018,Q4,49898.67,55933.33,12.09,12.09
70297,Bojnik,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,58565.67,65634.33,12.07,12.07
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2024,Q4,2025,Q1,159455.67,140226.0,-12.06,12.06
70998,Prokuplje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2020,Q3,2020,Q4,69210.67,77550.33,12.05,12.05
80438,Subotica,net,SRBIJA – SEVER,Region Vojvodine,Severnobačka oblast,municipality,,2025,Q3,2025,Q4,95867.33,107398.33,12.03,12.03
70556,Zaječar,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2025,Q3,2025,Q4,93853.33,105122.67,12.01,12.01
71064,Svrljig,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2023,Q4,2024,Q1,83485.67,93473.33,11.96,11.96
71226,Crna Trava,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2019,Q4,2020,Q1,42414.67,47487.67,11.96,11.96
70297,Bojnik,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,80518.0,90135.33,11.94,11.94
89010,Grad Novi Sad,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,city,Grad Novi Sad,2021,Q3,2021,Q4,101609.67,113678.33,11.88,11.88
70823,Merošina,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2020,Q3,2020,Q4,60241.67,67390.67,11.87,11.87
70823,Merošina,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2020,Q3,2020,Q4,43722.0,48905.33,11.86,11.86
71129,Sokobanja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2023,Q4,2024,Q1,68444.33,76560.67,11.86,11.86
71129,Sokobanja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2019,Q3,2019,Q4,43884.33,49086.33,11.85,11.85
71129,Sokobanja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2023,Q4,2024,Q1,94839.33,106060.33,11.83,11.83
70408,Vladimirci,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,2025,Q3,2025,Q4,113893.67,127319.0,11.79,11.79
70998,Prokuplje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2018,Q4,2019,Q1,56756.67,63443.0,11.78,11.78
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2022,Q4,2023,Q1,109450.67,122331.33,11.77,11.77
71366,Sevojno,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,2021,Q3,2021,Q4,54765.33,61212.33,11.77,11.77
70297,Bojnik,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,69304.33,77448.0,11.75,11.75
71358,Vranjska Banja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,2025,Q3,2025,Q4,76148.67,85078.33,11.73,11.73
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2019,Q3,2019,Q4,74475.67,83205.33,11.72,11.72
70297,Bojnik,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,50344.0,56238.67,11.71,11.71
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2024,Q4,2025,Q1,114281.67,100954.0,-11.66,11.66
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2019,Q3,2019,Q4,53559.33,59792.0,11.64,11.64
71366,Sevojno,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,2021,Q3,2021,Q4,76129.67,84991.33,11.64,11.64
70556,Zaječar,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2025,Q3,2025,Q4,130017.0,145135.67,11.63,11.63
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2022,Q4,2023,Q1,78799.33,87913.67,11.57,11.57
71188,Tutin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,2023,Q4,2024,Q1,63598.0,70947.67,11.56,11.56
70998,Prokuplje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2018,Q4,2019,Q1,41170.33,45921.67,11.54,11.54
71129,Sokobanja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2022,Q4,2023,Q1,59649.67,66519.0,11.52,11.52
71188,Tutin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,2023,Q4,2024,Q1,87817.33,97919.33,11.5,11.5
80438,Subotica,gross,SRBIJA – SEVER,Region Vojvodine,Severnobačka oblast,municipality,,2025,Q3,2025,Q4,132504.67,147714.0,11.48,11.48
80195,Kanjiža,net,SRBIJA – SEVER,Region Vojvodine,Severnobanatska oblast,municipality,,2025,Q3,2025,Q4,85947.0,95801.33,11.47,11.47
71129,Sokobanja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2022,Q4,2023,Q1,82604.33,92070.67,11.46,11.46
80365,Senta,net,SRBIJA – SEVER,Region Vojvodine,Severnobanatska oblast,municipality,,2019,Q3,2019,Q4,49766.67,55465.67,11.45,11.45
70041,Arilje,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,2021,Q3,2021,Q4,48246.0,53766.67,11.44,11.44
80365,Senta,gross,SRBIJA – SEVER,Region Vojvodine,Severnobanatska oblast,municipality,,2019,Q3,2019,Q4,68929.33,76785.67,11.4,11.4
70815,Medveđa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,71427.0,79544.67,11.36,11.36
71226,Crna Trava,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2019,Q4,2020,Q1,58342.0,64965.0,11.35,11.35
80080,Bački Petrovac,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2022,Q4,2023,Q1,64350.33,71605.67,11.27,11.27
70343,Brus,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,2024,Q3,2024,Q4,73387.67,81638.0,11.24,11.24
80128,Vršac,net,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2021,Q3,2021,Q4,63080.33,70172.33,11.24,11.24
70815,Medveđa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,98892.0,109955.33,11.19,11.19
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2018,Q4,2019,Q1,69550.33,77317.67,11.17,11.17
70840,Negotin,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2021,Q4,2022,Q1,79138.0,87939.0,11.12,11.12
70793,Mali Zvornik,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,2025,Q3,2025,Q4,86207.0,95749.67,11.07,11.07
70718,Lebane,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,53673.0,59607.0,11.06,11.06
70327,Bor,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2024,Q4,2025,Q1,115905.0,128696.33,11.04,11.04
70424,Vlasotince,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,82379.33,91478.0,11.04,11.04
71129,Sokobanja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,2019,Q3,2019,Q4,60875.0,67591.0,11.03,11.03
80322,Pećinci,gross,SRBIJA – SEVER,Region Vojvodine,Sremska oblast,municipality,,2022,Q3,2022,Q4,90675.0,100652.67,11.0,11.0
70114,Vračar,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,107231.67,119017.0,10.99,10.99
70327,Bor,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2024,Q4,2025,Q1,160873.67,178558.0,10.99,10.99
70840,Negotin,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2021,Q4,2022,Q1,57232.33,63513.33,10.97,10.97
70718,Lebane,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,74119.0,82233.0,10.95,10.95
80128,Vršac,gross,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2021,Q3,2021,Q4,87329.67,96893.33,10.95,10.95
70424,Vlasotince,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2023,Q4,2024,Q1,59834.67,66372.0,10.93,10.93
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2024,Q4,2025,Q1,141657.67,157137.0,10.93,10.93
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2018,Q4,2019,Q1,50105.33,55584.0,10.93,10.93
71358,Vranjska Banja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,2025,Q3,2025,Q4,105220.33,116688.67,10.9,10.9
70246,Stari grad,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,102765.67,113909.67,10.84,10.84
80128,Vršac,gross,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2019,Q3,2019,Q4,75387.0,83556.67,10.84,10.84
70505,Dimitrovgrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2025,Q3,2025,Q4,81971.0,90836.67,10.82,10.82
80322,Pećinci,net,SRBIJA – SEVER,Region Vojvodine,Sremska oblast,municipality,,2022,Q3,2022,Q4,65431.0,72510.33,10.82,10.82
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2024,Q4,2025,Q1,101923.0,112940.33,10.81,10.81
70181,Novi Beograd,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,103270.33,114417.33,10.79,10.79
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2018,Q1,2018,Q2,69062.33,76501.67,10.77,10.77
70343,Brus,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,2025,Q3,2025,Q4,82338.0,91165.33,10.72,10.72
80128,Vršac,net,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2019,Q3,2019,Q4,54406.67,60227.0,10.7,10.7
70335,Bosilegrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,88623.0,98064.0,10.65,10.65
80080,Bački Petrovac,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2022,Q4,2023,Q1,88642.0,98063.0,10.63,10.63
80195,Kanjiža,gross,SRBIJA – SEVER,Region Vojvodine,Severnobanatska oblast,municipality,,2025,Q3,2025,Q4,119071.0,131678.33,10.59,10.59
70335,Bosilegrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,63937.0,70695.33,10.57,10.57
70246,Stari grad,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2022,Q3,2022,Q4,125373.67,138606.0,10.55,10.55
70050,Babušnica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2018,Q3,2018,Q4,55816.67,61699.33,10.54,10.54
70106,Voždovac,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,84308.33,93187.67,10.53,10.53
80128,Vršac,net,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2022,Q3,2022,Q4,70433.33,77828.0,10.5,10.5
70530,Žagubica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,2023,Q4,2024,Q1,97577.0,107814.67,10.49,10.49
