source_file,indicator_code,indicator_name,earnings_type,municipality_code,municipality_name,year,month,quarter,year_month,value_rsd,unit_code,unit_name,status_code,status_name,source_org
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70980,Prijepolje,2018,1,Q1,2018-01,39093,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70998,Prokuplje,2018,1,Q1,2018-01,42396,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71005,Ražanj,2018,1,Q1,2018-01,36619,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71013,Rača,2018,1,Q1,2018-01,40310,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71021,Raška,2018,1,Q1,2018-01,41221,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71030,Rekovac,2018,1,Q1,2018-01,40576,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71048,Jagodina,2018,1,Q1,2018-01,41179,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71056,Svilajnac,2018,1,Q1,2018-01,40031,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71064,Svrljig,2018,1,Q1,2018-01,32936,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71072,Sjenica,2018,1,Q1,2018-01,42476,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71099,Smederevo,2018,1,Q1,2018-01,50242,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71102,Smederevska Palanka,2018,1,Q1,2018-01,42329,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71129,Sokobanja,2018,1,Q1,2018-01,43500,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71137,Surdulica,2018,1,Q1,2018-01,42448,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71145,Užice,2018,1,Q1,2018-01,48106,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71153,Topola,2018,1,Q1,2018-01,39958,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71161,Trgovište,2018,1,Q1,2018-01,43215,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71170,Trstenik,2018,1,Q1,2018-01,40477,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71188,Tutin,2018,1,Q1,2018-01,40681,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71196,Ćićevac,2018,1,Q1,2018-01,37675,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71200,Ćuprija,2018,1,Q1,2018-01,40841,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71218,Ub,2018,1,Q1,2018-01,46510,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71226,Crna Trava,2018,1,Q1,2018-01,40114,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71234,Čajetina,2018,1,Q1,2018-01,39694,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71242,Čačak,2018,1,Q1,2018-01,43581,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71269,Šabac,2018,1,Q1,2018-01,44667,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71277,Lapovo,2018,1,Q1,2018-01,40334,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71285,Niška Banja,2018,1,Q1,2018-01,38294,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71293,Surčin,2018,1,Q1,2018-01,44603,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71307,Pantelej,2018,1,Q1,2018-01,43899,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71315,Crveni Krst,2018,1,Q1,2018-01,41035,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71323,Palilula (Niš),2018,1,Q1,2018-01,43416,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71331,Medijana,2018,1,Q1,2018-01,52196,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71340,Kostolac,2018,1,Q1,2018-01,64458,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71358,Vranjska Banja,2018,1,Q1,2018-01,35986,RSD,RSD,A,Normal value,SORS
