territory_code,territory_name,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,is_in_raw_municipality_file,note
70734,Loznica,local_unit,5,RS213,Mačvanska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,municipality,,,True,
70742,Lučani,local_unit,5,RS214,Moravička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravička oblast,municipality,,,True,
70769,Ljig,local_unit,5,RS212,Kolubarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,municipality,,,True,
70777,Ljubovija,local_unit,5,RS213,Mačvanska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,municipality,,,True,
70785,Majdanpek,local_unit,5,RS221,Borska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS221,Borska oblast,municipality,,,True,
70793,Mali Zvornik,local_unit,5,RS213,Mačvanska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,municipality,,,True,
70807,Malo Crniće,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70815,Medveđa,local_unit,5,RS224,Jablanička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS224,Jablanička oblast,municipality,,,True,
70823,Merošina,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
70831,Mionica,local_unit,5,RS212,Kolubarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,municipality,,,True,
70840,Negotin,local_unit,5,RS221,Borska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS221,Borska oblast,municipality,,,True,
70866,Nova Varoš,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70874,Novi Pazar,local_unit,5,RS217,Raška oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast,municipality,,,True,
70882,Osečina,local_unit,5,RS212,Kolubarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,municipality,,,True,
70904,Paraćin,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
70912,Petrovac na Mlavi,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,municipality,,,True,
70939,Pirot,local_unit,5,RS226,Pirotska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS226,Pirotska oblast,municipality,,,True,
70947,Požarevac,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,city_municipality,79049,Grad Požarevac,True,
70955,Požega,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70963,Preševo,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,municipality,,,True,
70971,Priboj,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70980,Prijepolje,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70998,Prokuplje,local_unit,5,RS229,Toplička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS229,Toplička oblast,municipality,,,True,
71005,Ražanj,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
71013,Rača,local_unit,5,RS218,Šumadijska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,municipality,,,True,
71021,Raška,local_unit,5,RS217,Raška oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS217,Raška oblast,municipality,,,True,
71030,Rekovac,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
71048,Jagodina,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
71056,Svilajnac,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
71064,Svrljig,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
71072,Sjenica,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
